_recordId,Q2_1,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8
R_0UFgyV9m9bc0pds,2,3,1,1,2,3,2,3,1,2,1,3,7,8,2,1,5,3,4,6
R_4SzjNZV9NDmstH8,2,3,1,1,2,3,1,2,3,3,2,1,3,5,4,7,8,6,1,2
R_4YjhJN0z3uvufHw,2,1,3,1,3,2,2,3,1,2,1,3,4,1,8,2,3,6,7,5
R_b33tJ1031VnD99s,2,3,1,3,2,1,3,1,2,3,2,1,2,8,4,5,6,1,3,7
R_3C4w0VcsSZ2Z9Fs,2,1,3,3,1,2,3,1,2,3,2,1,8,6,1,7,2,4,3,5
R_9GBhAegVCypxVNY,1,3,2,3,1,2,2,3,1,2,1,3,2,4,8,7,5,3,6,1
R_9LINzMVTqbIkgKy,2,1,3,1,3,2,2,3,1,3,1,2,1,7,5,6,2,8,4,3
R_203SAcyHttyYxP8,2,3,1,2,1,3,2,3,1,2,3,1,3,5,4,1,7,6,8,2
R_9FxCniRUpMUEkiq,2,3,1,2,3,1,3,2,1,3,2,1,5,3,7,1,4,8,6,2
R_55RaXd5IlmJ6K5U,1,2,3,2,1,3,1,2,3,3,2,1,6,8,2,1,5,4,3,7
R_0jrwnnrf5qtRxWe,2,3,1,2,1,3,1,2,3,2,3,1,5,8,7,1,6,2,3,4
R_3rPf7qCAKOrW1pk,1,3,2,2,3,1,2,1,3,2,3,1,1,4,5,8,6,2,7,3
R_eeyTosOjOFKxQrQ,3,2,1,3,1,2,2,3,1,1,3,2,2,7,4,5,3,8,1,6
R_eXJaR6M2LfB6L6m,3,1,2,1,2,3,3,2,1,1,2,3,3,1,8,7,5,6,2,4
R_3Uh17RMotnovYLc,1,3,2,2,1,3,1,3,2,1,3,2,5,7,6,8,4,2,1,3
R_7UI7eRCeou1Mehw,2,3,1,3,2,1,1,3,2,3,1,2,8,1,7,6,3,5,2,4
R_cOMp6SwQkJinYiO,1,2,3,1,2,3,1,2,3,3,1,2,6,8,5,1,3,7,4,2
R_e5MkHWkaaXsx0H4,3,2,1,3,2,1,1,2,3,2,3,1,1,4,3,6,7,2,8,5
R_6JNKsCPjmOn7bh4,2,3,1,2,3,1,1,3,2,2,3,1,4,2,7,5,3,1,8,6
R_5paCZkrTTu6EYbc,1,3,2,1,3,2,3,2,1,2,1,3,1,2,6,8,7,5,3,4
R_2lOn1FkIxLCK3Vs,3,1,2,3,2,1,2,1,3,3,2,1,2,4,5,6,1,8,3,7
R_41UgRij6x9GKPxI,1,3,2,1,2,3,1,2,3,3,2,1,3,7,4,2,5,1,6,8
R_6x4AAWm2rQ79SRM,1,3,2,3,2,1,3,2,1,2,1,3,7,1,4,6,2,3,5,8
R_2gFi6vg5jxhxxn8,2,1,3,3,2,1,2,3,1,2,3,1,2,7,1,6,3,4,8,5
R_1SmU7wTnUtN8ku2,3,2,1,3,2,1,2,1,3,2,1,3,2,3,8,6,1,5,7,4
R_0BdurZkeeXOzgEK,3,2,1,1,2,3,1,3,2,1,2,3,1,5,4,2,3,8,6,7
R_3VgIUz6WMkZoNRs,2,1,3,2,1,3,1,3,2,3,2,1,4,3,8,5,7,6,2,1
R_79jcA1UxTN2rdvE,2,3,1,2,3,1,2,3,1,2,3,1,6,1,5,2,4,3,8,7
R_0NcXpspMXj66l5I,2,1,3,2,1,3,2,1,3,1,2,3,3,1,5,7,2,4,6,8
R_davEqFgZHmDbbiC,2,3,1,2,1,3,3,2,1,3,2,1,1,2,6,5,4,8,7,3
R_6D8XmbMA53dyQR0,1,2,3,1,3,2,1,3,2,1,2,3,3,4,7,2,1,5,8,6
R_6YiyMUhXikXXtz0,3,1,2,1,3,2,2,3,1,2,1,3,1,3,6,2,7,5,8,4
R_6xOaF1LnGCkN5Km,2,3,1,2,1,3,1,2,3,2,3,1,8,7,1,2,5,6,3,4
R_cCsqoZJ8N10VQto,3,2,1,2,3,1,3,2,1,3,1,2,3,2,5,8,1,4,6,7
R_9t6iMBAR7bFAC1w,3,1,2,1,2,3,3,2,1,3,2,1,1,7,2,4,6,3,5,8
R_8zVY0W95PeSMTJA,2,3,1,1,2,3,2,1,3,1,2,3,8,6,2,5,7,1,4,3
R_6Wk2IzPA0CSY5Tw,3,2,1,1,2,3,3,2,1,3,1,2,8,5,6,2,7,4,3,1
R_3vKuqxkviRVs3hc,1,2,3,2,3,1,3,2,1,2,1,3,1,5,3,2,8,7,4,6
R_9Sm96vK3g1lS54W,3,2,1,2,3,1,2,1,3,2,3,1,7,4,3,1,8,5,6,2
R_e8yPZTPrneNUIrY,1,2,3,1,3,2,2,1,3,3,1,2,5,4,8,2,7,6,3,1
R_0VyNw1nsFdtD0cC,3,2,1,3,1,2,2,1,3,3,1,2,2,5,6,8,3,4,7,1
R_esLZwUxjvHUf7lI,2,3,1,2,1,3,2,3,1,3,2,1,1,5,2,4,8,7,6,3
R_dclt5tulLh8wiKW,3,1,2,3,1,2,3,2,1,1,2,3,1,8,3,5,7,2,4,6
R_3TQCbkIRp0PkiMe,1,3,2,3,1,2,3,2,1,2,1,3,1,2,3,5,6,8,4,7
R_beGDBghHA8NiDb0,1,2,3,2,3,1,2,3,1,3,2,1,1,5,7,4,6,2,8,3
R_71BoL99dUwXCZlY,1,3,2,2,1,3,2,3,1,1,2,3,6,5,1,3,2,4,8,7
R_6spmo4Xip3djlfU,2,3,1,3,1,2,2,1,3,3,1,2,5,2,3,8,7,1,4,6
R_2c4hpvajqaWOF3o,3,2,1,3,1,2,3,1,2,1,2,3,7,8,4,2,6,1,3,5
R_cZ9HIJkj10p3DuK,1,3,2,1,2,3,2,3,1,3,2,1,7,8,2,1,5,6,4,3
R_1H1lfn4xqBiUc5w,2,1,3,3,2,1,1,3,2,3,2,1,5,1,3,8,6,4,7,2
R_5okhvU2vReHr3GS,3,2,1,2,3,1,1,2,3,3,2,1,6,3,8,7,4,1,5,2
R_bJ9nyEdULYMFAUK,1,2,3,3,2,1,3,1,2,2,3,1,5,4,1,3,7,6,2,8
R_1CcIOZnGL3bKqSG,2,1,3,3,1,2,3,1,2,2,3,1,6,8,2,1,5,3,7,4
R_819NqrI78NYZg3k,3,1,2,2,1,3,3,2,1,2,1,3,1,4,7,8,6,5,3,2
R_efwEeDJvk721klE,1,2,3,1,3,2,3,2,1,3,1,2,2,1,7,6,4,8,5,3
R_cRR4vc4uKtYT7tY,2,1,3,2,1,3,3,1,2,2,1,3,6,8,4,3,2,7,1,5
R_5BAZWrHYFalQXI2,2,3,1,1,2,3,2,1,3,2,1,3,2,8,1,4,3,5,7,6
R_8HB5RUeKEkrdyce,3,1,2,3,1,2,2,1,3,2,3,1,1,8,6,5,7,3,4,2
R_b8TaQEpZ3npqcRw,1,3,2,1,2,3,2,1,3,1,2,3,8,7,5,1,6,4,2,3
R_bkYwJr60yVe9JeS,1,2,3,2,3,1,1,3,2,1,2,3,1,2,8,4,5,7,6,3
R_5tHDeWcWa25DS0m,1,3,2,1,3,2,1,2,3,1,3,2,5,4,2,8,6,7,3,1
R_8nVJt8a700k7bYa,1,2,3,3,2,1,1,3,2,3,1,2,3,2,4,7,8,5,6,1
R_bNTHhA2pIRnKtkq,1,2,3,3,1,2,3,2,1,1,2,3,5,6,8,7,1,4,3,2
R_0jkQiL3JW4SAPMq,1,2,3,3,2,1,1,3,2,2,1,3,2,4,6,5,3,8,1,7
R_dm1FZdZQNxRczYy,3,1,2,2,1,3,1,3,2,3,1,2,1,7,4,8,3,2,5,6
R_003uGXZKinBqGz4,2,1,3,2,3,1,2,1,3,2,1,3,1,4,8,2,5,6,3,7
R_e4NcC1YYpuSAGAC,2,3,1,1,3,2,2,1,3,3,2,1,7,2,8,4,5,3,1,6
R_0rFvSnPJRD7OIwm,1,3,2,3,2,1,1,3,2,3,1,2,8,5,6,1,7,3,2,4
R_3fPCpgKoBecETmm,1,2,3,1,2,3,3,1,2,3,2,1,4,3,5,1,8,7,2,6
R_aXVp9eoAf0Tkn9I,1,3,2,2,3,1,2,3,1,3,1,2,3,8,5,4,6,7,1,2
R_2gm9W7KSPEj1TDg,2,1,3,3,1,2,3,1,2,3,1,2,3,2,4,7,8,6,1,5
R_0eRmgIwBjgmdxPM,3,1,2,3,1,2,3,1,2,3,2,1,5,6,1,8,7,3,4,2
R_ddqZl7VhLnenimy,2,3,1,3,1,2,3,1,2,1,2,3,3,1,8,6,4,2,7,5
R_41woqcv1pOzmso6,2,1,3,1,2,3,1,3,2,1,3,2,8,3,6,2,4,5,1,7
R_a9PP2ZtLGbPLzuu,3,2,1,3,2,1,1,3,2,1,2,3,4,7,3,6,2,1,5,8
R_2ujbu5lbzrCfBJ4,3,2,1,2,1,3,3,2,1,2,3,1,7,1,2,4,8,3,6,5
R_8cxmV22BddVbZsO,2,1,3,1,2,3,3,1,2,2,1,3,8,6,7,3,1,5,4,2
R_54uXTdaJ1b3JRGu,2,1,3,1,3,2,2,3,1,3,2,1,2,5,1,6,3,7,8,4
R_2ipK67LjLNURaOa,2,3,1,2,3,1,2,3,1,3,2,1,4,7,5,6,3,2,8,1
R_0DPr0I9qURRZ7L0,1,2,3,2,1,3,2,3,1,2,1,3,2,4,7,6,8,3,5,1
R_4Ml8gK6lA6Og4V8,3,2,1,2,3,1,2,1,3,3,1,2,5,6,4,7,8,1,2,3
R_8vKoZkpbPKa9f4W,3,1,2,3,2,1,1,2,3,3,1,2,6,1,2,7,4,8,5,3
R_eX3PV5Qnu3V4mR8,1,3,2,1,2,3,2,1,3,2,3,1,4,5,7,1,6,2,3,8
R_0MxrljIIWQ0fhPw,2,1,3,3,1,2,2,1,3,3,2,1,6,3,8,2,5,4,7,1
R_cJbA3l2TTBhBRga,2,1,3,2,3,1,1,3,2,2,3,1,1,7,3,6,5,2,4,8
R_ba5ENPo2d3Vq9z8,2,1,3,3,1,2,1,2,3,1,2,3,3,2,8,1,7,6,5,4
R_cU8XROYd1XqTBCS,2,1,3,1,3,2,1,2,3,1,3,2,8,1,4,5,7,6,2,3
R_1AHeNDmkhMGiZ02,1,2,3,1,3,2,3,2,1,3,1,2,4,2,5,3,8,1,6,7
R_eVVBc3Lbyqc0DBQ,1,3,2,1,2,3,2,3,1,2,3,1,2,6,4,8,1,7,5,3
R_6L547L634bQqavc,3,1,2,1,3,2,2,1,3,1,3,2,8,1,5,3,4,7,6,2
R_5AVUuDyMBBGdvkq,3,2,1,2,3,1,2,3,1,2,1,3,1,5,7,3,4,2,8,6
R_41Pvv4c4plIJc8K,2,3,1,2,3,1,2,3,1,1,3,2,3,6,5,7,8,2,4,1
R_006GLEY4NjuqN6u,2,3,1,1,2,3,3,2,1,2,3,1,7,5,1,8,4,2,6,3
R_8iCtnUKSBN1330y,3,2,1,1,2,3,1,3,2,2,1,3,1,2,6,8,5,4,7,3
R_3kCD4DLiLXFOXsO,1,3,2,1,2,3,3,1,2,3,2,1,8,5,2,3,7,1,4,6
R_6RJudDJ6t7WpvHE,3,2,1,1,3,2,3,2,1,3,2,1,6,7,4,3,8,5,2,1
R_2tRcjBB8chdH0Ng,1,2,3,1,3,2,3,2,1,2,1,3,8,1,2,4,3,6,7,5
R_6GxPUXj80hOuxUy,1,3,2,2,1,3,3,1,2,3,2,1,3,1,2,7,4,5,8,6
R_bDVV9pOUZCJTjXo,2,3,1,3,1,2,1,2,3,2,1,3,1,7,2,5,8,4,3,6
R_8eOTKP6iXjlEwOW,2,3,1,2,1,3,2,1,3,3,2,1,7,6,4,5,2,3,1,8
R_b9KCeaq6p8gsmTY,3,2,1,1,3,2,3,1,2,3,1,2,1,3,4,8,2,6,5,7
R_2gwtL6uzGCPpBBk,1,2,3,1,2,3,1,2,3,3,1,2,7,3,1,4,2,6,8,5
R_3OAJfe84dbW2b6S,2,1,3,1,3,2,2,1,3,2,3,1,1,6,7,8,5,2,3,4
R_4Jx4TP5GczN5v14,3,2,1,3,2,1,2,1,3,2,3,1,5,4,2,6,8,3,1,7
R_1ST8yfOvgbmX02y,2,1,3,3,1,2,2,3,1,1,2,3,6,5,8,1,3,4,2,7
R_2fBJJ4H2b5aoKTY,1,2,3,1,2,3,3,1,2,1,3,2,3,8,2,7,5,4,1,6
R_2f82WcGUhyNtgk6,2,3,1,1,3,2,1,3,2,1,3,2,5,3,4,8,2,1,7,6
R_bKm3NXoBalk6Lxs,3,2,1,1,2,3,3,2,1,2,3,1,7,2,4,6,5,8,3,1
R_cGS5k8GRuPLQUD4,3,1,2,3,2,1,3,1,2,2,1,3,6,5,7,8,1,3,4,2
R_9vQoqT8MESmlmRw,1,2,3,2,3,1,3,2,1,3,1,2,1,5,4,2,7,8,6,3
R_cNfVCKz1TEFdItE,1,3,2,3,1,2,2,1,3,1,2,3,6,2,8,4,5,7,3,1
R_eD1dSZlvTryNMp0,2,3,1,1,2,3,3,1,2,3,2,1,7,2,4,3,6,5,8,1
R_3aU49pNiaxGpf7w,1,3,2,1,3,2,3,1,2,3,2,1,5,1,3,4,6,7,8,2
R_0HAOxY8vn1ePZ7U,3,1,2,3,1,2,2,1,3,1,2,3,2,7,5,8,4,6,3,1
R_3sCWhRKO0Lpv5qK,2,1,3,2,1,3,2,3,1,1,2,3,5,7,1,3,6,4,8,2
R_1U31SZbe9PJCHBA,2,3,1,2,1,3,1,3,2,3,2,1,3,5,4,6,1,7,8,2
R_7ahekqPccInk7wq,1,3,2,1,3,2,3,2,1,2,1,3,6,5,7,2,3,8,1,4
R_8k5a6UJSjaqUEpU,1,2,3,3,1,2,3,2,1,1,3,2,3,8,6,4,1,7,5,2
R_6r1YMWtOBTnldc2,3,2,1,2,1,3,1,3,2,1,2,3,5,2,3,8,7,4,6,1
R_cRMLKGoIpf7bFSm,3,2,1,2,1,3,3,2,1,2,3,1,5,4,2,6,3,8,1,7
R_bfpZPTO0IUgdHcq,1,3,2,2,3,1,2,3,1,3,1,2,1,7,3,5,8,6,2,4
R_3UzO5L5Pexy5RHM,3,2,1,1,2,3,1,2,3,2,1,3,6,4,7,2,3,1,8,5
R_bf0ngKw1mTiSSEK,1,3,2,2,3,1,1,3,2,3,2,1,6,1,3,7,8,4,2,5
R_1XGgfCdgiInqFFk,1,2,3,3,1,2,3,2,1,3,2,1,1,8,4,6,7,2,5,3
R_eX496GY2qZhJDFQ,1,3,2,1,2,3,3,2,1,3,1,2,7,5,8,6,1,4,2,3
R_81wLTt8wUow2DUG,3,1,2,2,1,3,3,2,1,3,1,2,1,3,8,2,5,7,6,4
R_23lCI1IfXPRmrdQ,2,3,1,1,3,2,1,3,2,3,1,2,1,5,8,7,6,3,2,4
R_9Ny0dxNOa73QbRk,2,3,1,2,3,1,2,3,1,2,1,3,5,3,4,7,1,8,6,2
R_0H4llMXTea7hJwG,3,2,1,3,1,2,1,2,3,1,3,2,4,5,7,6,2,8,3,1
R_5nmtTeg2k2og6Ts,1,2,3,1,2,3,3,1,2,2,1,3,7,6,4,8,1,5,2,3
R_aY4Q5BUxSjYbpwq,1,2,3,2,1,3,3,2,1,2,1,3,3,6,7,5,1,2,8,4
R_exhbQZ7LRYPbojQ,1,2,3,3,1,2,1,2,3,3,1,2,2,5,4,7,6,8,3,1
R_ef99OmjHmSEf1oG,3,1,2,2,3,1,2,3,1,3,1,2,8,5,3,2,6,4,1,7
R_74fX6TnkcPKcuMe,2,3,1,3,2,1,3,2,1,1,3,2,7,3,6,2,5,4,1,8
R_d5waqRQN9MuT19I,3,2,1,3,1,2,1,2,3,3,2,1,4,6,1,2,8,7,5,3
R_ent1RiXvooIehG6,1,3,2,3,2,1,3,2,1,1,2,3,5,1,8,4,6,7,3,2
R_9tMAFBqdxnrqr4y,3,1,2,1,3,2,2,3,1,3,2,1,7,6,1,2,3,5,8,4
R_0lbx8rZJoWjzqmO,3,2,1,1,2,3,1,2,3,3,1,2,7,8,4,3,1,2,6,5
R_ePsLXIXIyLeQOaO,3,2,1,1,3,2,2,1,3,2,1,3,7,2,8,5,3,1,4,6
R_5C3NeygqnQzJ8pg,1,2,3,2,3,1,2,3,1,1,3,2,3,2,8,6,5,7,1,4
R_42BLwAcQ9jwZjFk,1,3,2,2,1,3,3,1,2,3,1,2,7,5,1,3,2,8,4,6
R_5vwqxIAqQ9AChtc,2,3,1,3,1,2,3,1,2,3,2,1,1,3,7,5,6,2,8,4
R_9uUUXxdfkb2W9E2,3,2,1,2,1,3,2,1,3,1,2,3,7,3,8,5,2,1,6,4
R_0Ti5AVN5qUKSyr4,2,1,3,1,3,2,3,1,2,1,2,3,6,2,4,8,7,5,3,1
R_8GuXfPCeGPSvXEy,1,2,3,2,3,1,3,1,2,1,2,3,8,2,3,7,1,6,4,5
R_2lgG3jj3G4YmzxI,1,3,2,3,2,1,1,2,3,3,1,2,6,7,1,4,8,5,3,2
R_6z2R5Jz1sFblbnw,3,2,1,1,2,3,3,2,1,2,3,1,1,7,8,2,5,3,6,4
R_b3FhfItuGaxix8i,3,1,2,1,3,2,3,1,2,1,3,2,7,5,8,3,1,2,4,6
R_3OAbjS0B1XuE84K,2,1,3,3,2,1,3,2,1,1,3,2,5,3,6,4,8,2,7,1
R_0k3r0ERFGsQNLq6,1,2,3,2,1,3,1,3,2,1,2,3,4,8,3,1,2,6,7,5
R_3UTuCnIYDMlDWPI,3,1,2,2,1,3,1,2,3,3,1,2,3,5,8,7,6,2,1,4
R_3dsj3Lqwl4ZqgWW,2,3,1,2,1,3,3,2,1,3,2,1,3,6,7,1,4,2,5,8
R_0vOheNksLzFGmdE,2,3,1,3,1,2,1,3,2,2,1,3,8,1,3,6,2,4,7,5
R_6EeAfV3QTtGBQVg,1,2,3,1,2,3,1,2,3,2,3,1,4,5,1,8,6,7,2,3
R_79bOr5T4XxbZo22,1,2,3,3,1,2,3,2,1,3,2,1,4,5,8,6,7,3,1,2
R_bQLEo6Tut3nzEea,1,3,2,1,2,3,3,1,2,2,3,1,5,4,7,2,3,1,8,6
R_cLLiSDlwXFVDtR4,2,3,1,2,3,1,3,2,1,3,1,2,7,6,2,4,8,5,1,3
R_5nnibKMDtpmxc0u,1,2,3,3,1,2,1,2,3,1,3,2,3,2,1,7,4,6,5,8
R_9ZZJWZGWK8J0hjo,3,2,1,3,2,1,1,2,3,2,1,3,5,3,1,4,7,6,8,2
R_8cRv3IhkulWzWVE,2,1,3,1,3,2,3,2,1,2,1,3,6,2,1,3,7,5,4,8
R_bjRiN1wJ1S4KlJY,2,3,1,2,3,1,2,3,1,1,3,2,2,8,1,7,5,4,3,6
R_6umsMPbCQ3LDOh8,3,1,2,1,2,3,2,1,3,1,3,2,8,1,4,5,6,7,3,2
R_eL0m9ZR6Hm2ruTQ,3,2,1,2,1,3,2,3,1,1,2,3,1,8,5,7,6,4,3,2
R_0CYTJ7RznVdEp4W,1,3,2,3,2,1,3,1,2,2,3,1,3,1,5,4,8,2,6,7
R_0N7293XD1UkIo5g,1,3,2,3,2,1,2,3,1,3,2,1,7,5,6,3,4,2,1,8
R_6fiTdgmAdRWEicm,1,3,2,1,3,2,2,3,1,2,3,1,5,6,2,3,4,8,1,7
R_3TVBTUrXHPl3iES,2,1,3,2,1,3,1,2,3,3,1,2,4,2,5,1,7,8,3,6
R_ehwdAA9xBiEbVEa,1,3,2,1,2,3,2,1,3,2,1,3,4,8,5,3,2,1,6,7
R_8iVAHv25jZcnCVU,3,2,1,2,3,1,2,3,1,2,3,1,7,2,6,4,1,8,3,5
R_8GNRFrFKF6HPmqa,1,2,3,1,3,2,3,1,2,3,2,1,5,3,1,6,4,7,2,8
R_0GMKwGylFjPzydw,2,3,1,3,1,2,2,1,3,2,3,1,3,4,5,1,7,6,2,8
R_eWnz1jHnK4XwRlI,1,3,2,1,2,3,3,1,2,1,3,2,6,8,1,5,3,4,2,7
R_1QSuq9twKjq1cKW,1,2,3,2,1,3,3,2,1,3,2,1,2,1,5,3,4,8,7,6
R_cSbKl0UDYcEsx4G,3,1,2,2,1,3,2,3,1,1,3,2,7,6,3,1,4,8,5,2
R_1BadRjtq87JULqe,3,2,1,1,3,2,1,3,2,2,3,1,8,5,1,3,4,7,6,2
R_1KZ1PCWGjnTvtqK,2,3,1,1,2,3,3,2,1,2,1,3,4,5,1,6,2,7,3,8
R_3KvvQiKmaWEotjU,2,3,1,3,2,1,1,2,3,1,3,2,6,7,5,1,2,3,4,8
R_2s1zlG7WQBxKZue,1,2,3,1,3,2,3,1,2,3,2,1,8,4,5,2,7,6,3,1
R_3IO3PXK2lZM2TR4,2,3,1,1,3,2,3,1,2,2,1,3,4,6,2,7,1,3,8,5
R_8Hrw02lexJdnTjo,3,1,2,3,2,1,1,3,2,3,2,1,7,4,6,2,8,5,3,1
R_3dR1AIuPhpX61pk,1,2,3,2,1,3,3,2,1,1,2,3,1,4,2,5,3,8,7,6
R_71j1qLe9iApNESa,3,2,1,3,2,1,3,1,2,3,2,1,8,7,1,5,6,2,3,4
R_6VbHivQqT3DbgY6,3,1,2,2,3,1,2,3,1,2,3,1,6,2,7,1,8,5,3,4
R_8G4f34bW7laRJTE,3,1,2,3,1,2,2,1,3,1,3,2,8,7,2,4,5,6,3,1
R_e4mXOiChxSRR7v0,2,1,3,1,2,3,3,2,1,2,3,1,5,4,7,3,8,1,2,6
R_0Dp4BBB3Q8s1Q58,2,3,1,2,3,1,3,2,1,2,1,3,5,6,7,4,8,1,3,2
R_0UJBTpOFjD0DVlA,3,1,2,2,1,3,1,3,2,3,2,1,3,7,1,6,5,4,8,2
R_0vLhzb76POHgBoO,1,3,2,3,2,1,2,1,3,2,1,3,5,8,7,6,1,4,2,3
R_9n9SPR5mmDAMoHs,1,3,2,1,2,3,1,3,2,3,1,2,6,2,3,4,5,1,8,7
R_50f2ADX5xXJD6Oq,3,1,2,2,3,1,3,1,2,2,1,3,2,4,1,7,8,5,6,3
R_38lRiCkgkVI0PEG,2,1,3,2,3,1,3,2,1,1,3,2,7,1,6,3,8,4,2,5
R_bQUKVjURyAXQxtI,1,2,3,2,1,3,2,3,1,2,3,1,8,3,2,5,1,6,4,7
R_9Em6A6GySu7yJPo,3,1,2,1,3,2,2,1,3,1,3,2,1,4,5,7,8,2,3,6
R_37pqGtwCCcEJQi2,2,3,1,3,2,1,3,1,2,2,3,1,1,5,2,8,6,3,7,4
R_9yMHNu5JJAyFYpM,1,2,3,1,2,3,1,2,3,3,2,1,6,2,1,3,5,4,7,8
R_6i1j11giU5P8G1g,2,3,1,3,2,1,3,1,2,1,2,3,1,2,4,6,7,8,3,5
R_9t6im4iR1l7o6CG,3,2,1,3,1,2,1,2,3,2,1,3,2,7,6,5,1,3,4,8
R_5mVsPzbnrzLKua2,2,3,1,1,2,3,3,2,1,2,1,3,3,6,2,4,7,5,8,1
R_b31A26MAsFpBVS6,3,2,1,2,3,1,1,3,2,3,1,2,6,1,3,4,2,8,5,7
R_cNiDP9fX3KrLSnA,3,2,1,2,3,1,2,3,1,1,2,3,6,3,4,5,1,8,2,7
R_4SYCP8LJfCu11Rk,1,3,2,2,1,3,3,2,1,3,2,1,3,7,2,6,1,5,8,4
R_5BhGpMvlJ7C0Jue,3,2,1,2,3,1,3,1,2,3,1,2,8,4,6,3,2,1,5,7
R_3lSEpfQU435B0Ls,2,3,1,3,2,1,2,3,1,2,3,1,3,2,5,6,1,7,8,4
R_bNpWRD4GsnftTWS,2,1,3,1,2,3,1,3,2,2,3,1,1,4,3,2,5,6,8,7
R_af93iDfopz5rnvg,3,2,1,2,1,3,3,1,2,1,2,3,6,7,5,2,4,1,3,8
R_1RMX97XC4OnrLxQ,3,1,2,1,3,2,2,1,3,3,1,2,4,5,7,6,1,3,2,8
R_cB0gpzfq4770iCW,3,2,1,2,3,1,1,3,2,2,3,1,6,1,4,3,2,7,5,8
R_czGYqhdJWUMXRGu,1,3,2,1,2,3,2,3,1,1,3,2,3,4,1,7,8,2,5,6
R_6mzgSevJH283iU6,1,2,3,1,3,2,1,3,2,2,3,1,6,1,7,5,3,8,2,4
R_ahMFo4UBLttPxEW,3,1,2,3,1,2,1,3,2,2,3,1,1,4,6,3,8,2,7,5
R_a2yOLDLnNEVx6N8,3,2,1,2,1,3,2,1,3,2,1,3,1,2,4,6,5,8,7,3
R_8BsmmRcwRKQAK7Y,1,2,3,2,1,3,1,3,2,2,3,1,7,1,8,5,3,2,4,6
